Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.0478819808283073 0.0478783685151248 -0.0301810325194037 -0.0302439333550046 -0.0300559300299796 -0.010231965104694 -0.0329819978879587 6.35794012477231e-05 0 6.35794012477231e-05 4.5 57.8614238690903 99.8282940193356 99.9521216314849 99.8778250641953 99.8778250641953 24.5809389394481 70.7929104613615 88.4906066415918 0 0 0.0141972705848697 0 -3.825 0 0 0.3 96.91514565 0 
1990-01-01/01:00:00 0.0479354778327551 0.0479343627236884 -0.0311555211887991 -0.031174916302062 -0.0311170019063083 -0.0176897558081115 -0.0329719942708937 6.32291088493551e-05 0 6.32291088493551e-05 4.5 57.8640487018358 99.822233784968 99.9520656372763 99.8741665258913 99.8741665258913 24.5811656868875 70.7934742789175 88.4910653625633 0 0 0.0141190503458322 0 -3.89843068313151 0 0 0.3 96.9151456819264 0 
1990-01-01/02:00:00 0.0479696587204981 0.0479689023583516 -0.0317560604646913 -0.0317692064672594 -0.0317299529388323 -0.0227976269934682 -0.0329653502480333 6.28805276421776e-05 0 6.28805276421776e-05 4.5 57.8666608426208 99.8187330080506 99.9520310976416 99.872052243887 99.872052243887 24.5813162877199 70.7938494987719 88.4913719664916 0 0 0.0140412122155262 0 -3.97186136626303 0 0 0.3 96.9151457138528 0 
1990-01-01/03:00:00 0.0479930614084886 0.0479925433568445 -0.0321668564769515 -0.0321758560971249 -0.0321489835993804 -0.0262936715667831 -0.0329609523232267 6.25336504055245e-05 0 6.25336504055245e-05 4.5 57.8692603436485 99.8163397981953 99.9520074566432 99.8706068615745 99.8706068615745 24.5814153296947 70.7940970103273 88.4915755523344 0 0 0.013963754581578 0 -4.04529204939454 0 0 0.3 96.9151457457792 0 
1990-01-01/04:00:00 0.0480090896824259 0.0480087349113742 -0.0324480911083644 -0.0324542521424694 -0.032435855577546 -0.0286859379890153 -0.0329580913825972 6.21884699439616e-05 0 6.21884699439616e-05 4.5 57.8718472569529 99.81470139572 99.9519912650886 99.8696173434675 99.8696173434675 24.5814790983254 70.7942571407772 88.4917086340689 0 0 0.0138866758372481 0 -4.11872273252605 0 0 0.3 96.9151457777055 0 
1990-01-01/05:00:00 0.0480200649163868 0.048019822011518 -0.032640610682695 -0.0326448280548604 -0.0326322351895917 -0.0303224054797323 -0.0329562820376812 6.18449790872166e-05 0 6.18449790872166e-05 4.5 57.874421634399 99.8135798237577 99.9519801779885 99.86893996545 99.86893996545 24.5815187421783 70.7943574969711 88.4917934699312 0 0 0.0138099743814159 0 -4.19215341565757 0 0 0.3 96.9151458096319 0 
1990-01-01/06:00:00 0.0480275786323702 0.0480274123518771 -0.0327723859030263 -0.0327752724507926 -0.0327666533681375 -0.0314413773070717 -0.0329551918819159 6.15031706901134e-05 0 6.15031706901134e-05 4.5 57.8769835276835 99.8128121307688 99.9519725876481 99.8684763135205 99.8684763135205 24.581541894815 70.794416981761 88.4918453006144 0 0 0.0137336486185648 0 -4.26558409878908 0 0 0.3 96.9151458415583 0 
1990-01-01/07:00:00 0.0480327215231196 0.0480326077195677 -0.0328625702174182 -0.0328645455787332 -0.0328586472547589 -0.0322060343319223 -0.0329545932968255 6.1163037632504e-05 0 6.1163037632504e-05 4.5 57.8795329883346 99.8122867335984 99.9519673922804 99.8681589970712 99.8681589970712 24.5815537827669 70.7944485376152 88.4918745612919 0 0 0.0136576969587666 0 -4.33901478192059 0 0 0.3 96.9151458734847 0 
1990-01-01/08:00:00 0.0480364230327352 0.0480363402722093 -0.0329273560907455 -0.032928792507223 -0.0329245034725511 -0.0327289684401481 -0.0329579824626188 0.000346665427943395 4.56739176747859e-05 6.09060793603765e-05 4.5 57.8814590961922 99.8119106148479 99.9519636597278 99.8679318327999 99.8679318327999 24.5814717457688 70.794460556563 88.4918880164257 8.72909998983971e-05 0.00169160408137292 0.0136003182158589 0.0258595100799988 -4.3947293982263 0.0109039789588962 16.5213536622215 0.3 96.9151458977084 0 
1990-01-01/09:00:00 0.0480653166874043 0.0480796348623513 -0.0336784523492356 -0.0334301283129138 -0.0341748996858044 -0.0332290922972721 -0.0329601777789854 0.000681504728090603 4.96187653647335e-05 6.20051426703526e-05 4.5 57.8732212329637 99.8047694154223 99.9519203651377 99.8636297953084 99.8636297953084 24.5810491881694 70.7943557877115 88.4918068138964 0.000381248337510014 0.0108096730402566 0.0138457388850602 0.163515749833141 -4.15786915950165 0.068948417433776 104.468395726729 0.3 96.9151457947257 0 
1990-01-01/10:00:00 0.0481008919098229 0.0481331135018204 -0.034605293904415 -0.0340469828619433 -0.035721452537432 -0.0337675614451979 -0.0329676733057258 0.000725926791934983 4.22636960770236e-05 6.44757486714714e-05 4.5 57.8547079012099 99.7959370238536 99.9518668864982 99.8583089689115 99.8583089689115 24.5805609548018 70.7940981890432 88.4916015735511 0.0003875366066636 0.0182030118966159 0.0143974248276475 0.269143097659429 -3.63872106200769 0.113487481577636 171.952534615746 0.3 96.9151455690092 0 
1990-01-01/11:00:00 0.0481100640376356 0.0481455992502496 -0.0348215369623019 -0.0342059485114298 -0.0360522014745647 -0.034200890412812 -0.0329764445232998 0.001185431184901 6.4501877350668e-05 6.76413310859416e-05 4.5 57.8309963585233 99.7940481397252 99.9518544007497 99.857170644135 99.857170644135 24.5800439584714 70.7937879563742 88.4913532965725 0.000397359398425373 0.0233290603519518 0.0151042988971568 0.335543224361947 -2.99870616878194 0.141485907773355 214.374837786799 0.3 96.9151452907418 0 
1990-01-01/12:00:00 0.0481555397147161 0.0482144855470978 -0.036013585069731 -0.0349936576887487 -0.0380525758580202 -0.0347434254705515 -0.0329878422322457 0.00145915709279383 7.73700741927427e-05 7.05331139027515e-05 4.5 57.8093450633861 99.7826243595364 99.9517855144529 99.850288821503 99.850288821503 24.5794456498368 70.7932959736763 88.490957264901 0.000407775639580526 0.0255026357795382 0.0157500335583399 0.358191071037317 -2.43682720163547 0.151035649545282 228.844295384952 0.3 96.9151450464467 0 
1990-01-01/13:00:00 0.048181398824637 0.0482525763693794 -0.0366719998854312 -0.0354412459983198 -0.039132402623267 -0.035280738152091 -0.0330016908608044 0.00134257895406937 7.22115495075812e-05 7.21698127129503e-05 4.5 57.7970947714104 99.7764578179584 99.9517474236306 99.8465736602273 99.8465736602273 24.578789601248 70.7926737571836 88.4904549745364 0.00041546863787522 0.0241999756827127 0.0161155081526002 0.335543224361947 -2.12779172592974 0.141485907773355 214.374837786799 0.3 96.9151449120834 0 
1990-01-01/14:00:00 0.048181398824637 0.0482525763693794 -0.036318284890404 -0.0352332163817941 -0.0384873747606128 -0.0355984838811995 -0.0330155722717162 0.000914922336532717 5.2407574270948e-05 7.19566351745473e-05 4.5 57.7986901910694 99.7801413504177 99.9517474236306 99.8487837797029 99.8487837797029 24.5781444301448 70.7920783517775 88.4899735447212 0.000417861762909912 0.0193789583184138 0.0160679056408444 0.269143097659429 -2.1676895380938 0.113487481577636 171.952534615746 0.3 96.9151449294303 0 
1990-01-01/15:00:00 0.048181398824637 0.0482525763693794 -0.0352366349411891 -0.0345453414607011 -0.0366185547681131 -0.0355884491213079 -0.0330270854540863 0.000846892904190288 6.0159438716673e-05 6.99726357593496e-05 4.5 57.8135407644555 99.7908137593433 99.9517474236306 99.8551872250582 99.8551872250582 24.577570232808 70.7916438100275 88.4896216818138 0.000414130072188097 0.0115897404810547 0.0156248788745489 0.163515749833141 -2.544115031166 0.0689484174337759 104.468395726729 0.3 96.9151450930935 0 
