Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.0478819808283073 0.0478783685151248 -0.0301810325194037 -0.0302439333550046 -0.0300559300299796 -0.010231965104694 -0.0329819978879587 6.35794012477231e-05 0 6.35794012477231e-05 4.5 57.8614238690903 99.8282940193356 99.9521216314849 99.8778250641953 99.8778250641953 24.5809389394481 70.7929104613615 88.4906066415918 0 0 0.0141972705848697 0 -3.825 0 0 0.3 96.91514565 0 
1990-01-01/01:00:00 0.0479354761443758 0.0479343611065401 -0.0311554930613805 -0.0311748869363905 -0.0311169762367848 -0.0176894794570516 -0.0329719942381944 6.31182076905565e-05 0 6.31182076905565e-05 4.5 57.86487974067 99.8222339315763 99.9520656388935 99.8741666145032 99.8741666145032 24.5811656882037 70.7934742821842 88.4910653652104 0 0 0.0140942861340162 0 -3.92175367362563 0 0 0.3 96.9151456920668 0 
1990-01-01/02:00:00 0.0479696524633176 0.0479688962368196 -0.0317559540681531 -0.0317690977147674 -0.0317298512198736 -0.0227966437102701 -0.0329653499586846 6.26599809832647e-05 0 6.26599809832647e-05 4.5 57.8683136062806 99.8187335890001 99.9520311037632 99.8720525949053 99.8720525949053 24.5813162966912 70.7938495210423 88.4913719845452 0 0 0.0139919641802864 0 -4.01850734725125 0 0 0.3 96.9151457341336 0 
1990-01-01/03:00:00 0.0479930486004561 0.0479925307281058 -0.0321666370886322 -0.0321756335964879 -0.0321487703907287 -0.0262916921468538 -0.032960951366503 6.22047046357516e-05 0 6.22047046357516e-05 4.5 57.871725585155 99.8163410158897 99.9520074692719 99.8706075972426 99.8706075972426 24.5814153569248 70.7940970779381 88.4915756071683 0 0 0.0138903010414444 0 -4.11526102087688 0 0 0.3 96.9151457762004 0 
1990-01-01/04:00:00 0.0480090689892079 0.0480087144267388 -0.0324477353661742 -0.0324538927806281 -0.0324355070225524 -0.0286827700009642 -0.0329580892222053 6.17523622338393e-05 0 6.17523622338393e-05 4.5 57.8751157960163 99.814703386406 99.9519912855733 99.8696185460729 99.8696185460729 24.5814791572659 70.7942572871547 88.4917087528403 0 0 0.0137892930522069 0 -4.21201469450251 0 0 0.3 96.9151458182673 0 
1990-01-01/05:00:00 0.048020035448216 0.0480197927713754 -0.0326401030069387 -0.0326443164225993 -0.032631735370003 -0.0303179227210284 -0.0329562780543293 6.13029374390021e-05 0 6.13029374390021e-05 4.5 57.87848435708 99.8135826783449 99.9519802072286 99.8689416898984 99.8689416898984 24.5815188481518 70.7943577602117 88.4917936836289 0 0 0.0136889365641835 0 -4.30876836812814 0 0 0.3 96.9151458603341 0 
1990-01-01/06:00:00 0.0480275761597775 0.0480274091405307 -0.0327723301555289 -0.0327752295278692 -0.0327665721560332 -0.0314356956211642 -0.0329559110316512 6.08831249251206e-05 0 6.08831249251206e-05 4.5 57.8816311614932 99.8128125945892 99.9519725908595 99.8684765930973 99.8684765930973 24.5815296988447 70.7944173094946 88.491845566966 1.25744027324996e-05 0.00024367860104319 0.0135951924939733 0.00372593820302972 -4.39971659266992 0.00157108745070182 2.38046051860232 0.3 96.9151458998768 0 
1990-01-01/07:00:00 0.0480328756904023 0.0480327567312379 -0.0328651567076997 -0.0328672215517752 -0.0328610560754051 -0.0322018762927712 -0.0329583584542588 6.13243795107311e-05 0 6.13243795107311e-05 4.5 57.8783236380059 99.8122729763085 99.9519672432688 99.8681506830926 99.8681506830926 24.5812988093509 70.7944485322966 88.4918745582145 0.000243953223736773 0.00448387377430968 0.0136937245755246 0.0682686470769283 -4.30413798853286 0.0287863106832366 43.6160800769264 0.3 96.9151458583209 0 
1990-01-01/08:00:00 0.0480365619205936 0.0480364778126223 -0.032929743281992 -0.0329312030809363 -0.032926844249592 -0.0327312535210944 -0.0329604620267035 0.00110252332441439 9.19619894187231e-05 6.25065297213145e-05 4.5 57.8694635917234 99.811897246184 99.9519635221874 99.8679237565853 99.8679237565853 24.5809223968103 70.7944600023994 88.4918875684592 0.000382880381958117 0.00852930053582185 0.0139576985369374 0.12841287700294 -4.05104844821238 0.054146861427757 82.041560307434 0.3 96.915145748282 0 
1990-01-01/09:00:00 0.0481361935994811 0.0481889680613408 -0.0355722144341757 -0.0346586439122014 -0.0373985892311126 -0.0336117125926099 -0.03296918352687 0.00110152271101315 7.84808280840656e-05 6.42845383787315e-05 4.5 57.8561404902341 99.7863591188876 99.9518110319387 99.852539884108 99.852539884108 24.5803848925118 70.7940792291641 88.4915826529712 0.000388098851325631 0.0121570481574159 0.014354727598492 0.180059898104647 -3.67826500407784 0.0759244600613157 115.038268233525 0.3 96.9151455862022 0 
1990-01-01/10:00:00 0.0481426979510995 0.0481962554773333 -0.0356982871769358 -0.0347712938086009 -0.037551454801597 -0.0342936687552611 -0.0329804313275842 6.64246540208619e-05 0 6.64246540208619e-05 4.5 57.8401085119536 99.7854861370205 99.9518037445227 99.8520131800214 99.8520131800214 24.5798109321766 70.7936192506238 88.4912129756744 0.000394940988402128 0.0151161254784461 0.01483261509441 0.219690051244706 -3.24148953758883 0.092634999226219 140.357532739673 0.3 96.9151453962998 0 
1990-01-01/11:00:00 0.0481426979510995 0.0481962554773333 -0.0331808442618158 -0.03316392079927 -0.0332146748738626 -0.0342639313245893 -0.0329870035683934 6.8621133711761e-05 0 6.8621133711761e-05 4.5 57.8236593987506 99.8102533896093 99.9518037445227 99.8668735315747 99.8668735315747 24.5793774086752 70.7935206600396 88.4911355739171 0.000402432342835975 0.0171463411252262 0.0153230886738066 0.244602606978546 -2.80598571761699 0.10313968329385 156.273887791849 0.3 96.9151452069503 0 
1990-01-01/12:00:00 0.0481426979510995 0.0481962554773333 -0.033130048591677 -0.0331298782097709 -0.0331303891912467 -0.0341905736680028 -0.0329915805597348 7.05331139027515e-05 0 7.05331139027515e-05 4.5 57.8093450633861 99.8107347607024 99.9518037445227 99.8671623542306 99.8671623542306 24.5789610139593 70.7934764375678 88.4911021200424 0.000409455950568829 0.0180203051952008 0.0157500335583399 0.253099815802851 -2.43682720163547 0.106722635404812 161.702660096266 0.3 96.9151450464467 0 
1990-01-01/13:00:00 0.0481426979510995 0.0481962554773333 -0.0331287240788949 -0.033128723147099 -0.0331287259415889 -0.0341481309120331 -0.0329961343849987 7.18420716394692e-05 0 7.18420716394692e-05 4.5 57.7995476040875 99.810744259835 99.9518037445227 99.8671680537101 99.8671680537101 24.5785421361601 70.7934339839105 88.4910700321844 0.000414911158016239 0.0175962670879049 0.0160423236209646 0.244602606978546 -2.18917422870676 0.10313968329385 156.273887791849 0.3 96.9151449387714 0 
1990-01-01/14:00:00 0.0481426979510995 0.0481962554773333 -0.0331299187138822 -0.0331299629405455 -0.0331298303031893 -0.0341245627701249 -0.0330006910817323 0.000131385659721757 4.0176227471424e-06 7.23184677409744e-05 4.5 57.795982266669 99.8107379526175 99.9518037445227 99.8671642693796 99.8671642693796 24.5781225652647 70.7933916292786 88.4910379590236 0.000417912778103494 0.0158626866002069 0.0161487027976463 0.219690051244706 -2.1000314908531 0.092634999226219 140.357532739673 0.3 96.9151449000137 0 
1990-01-01/15:00:00 0.0481426979510995 0.0481962554773333 -0.0332651862377224 -0.0332184569606798 -0.0333585997482842 -0.0341371963388617 -0.0330055047165809 0.00132656676329888 9.20393751213053e-05 7.18764769727981e-05 4.5 57.7992901072353 99.8094314096204 99.9518037445227 99.8663803435813 99.8663803435813 24.5776968637134 70.793328562001 88.4909890318814 0.000417961755959024 0.01295665779797 0.0160500063266405 0.180059898104647 -2.18271883447603 0.0759244600613157 115.038268233525 0.3 96.9151449359647 0 
1990-01-01/16:00:00 0.0481591558419623 0.0482194096756532 -0.0360987298202379 -0.0350562626992826 -0.0381826989219416 -0.0347170024458997 -0.0330160753114821 0.00132821628746546 0.000107320149559418 7.05957669139667e-05 4.5 57.8088760681102 99.7818812629917 99.9517805903243 99.8498409939248 99.8498409939248 24.5771038096429 70.7928372733866 88.4905929160787 0.000415048484607205 0.00914737068627051 0.015764023966172 0.12841287700294 -2.42488098821047 0.054146861427757 82.041560307434 0.3 96.9151450412526 0 
1990-01-01/17:00:00 0.048163206472406 0.0482245591437206 -0.0361625925556984 -0.0351204853964897 -0.0382458017708583 -0.0351760929292331 -0.0330290389763598 6.87012585684218e-05 0 6.87012585684218e-05 4.5 57.8230594530968 99.7815209007837 99.9517754408563 99.8496227168127 99.8496227168127 24.5764897268485 70.7922745687412 88.4901382042352 0.00040965172938694 0.00478872560516054 0.0153409805420574 0.0682686470769282 -2.7903337067699 0.0287863106832366 43.6160800769263 0.3 96.9151452001451 0 
1990-01-01/18:00:00 0.048163206472406 0.0482245591437206 -0.0332670694515221 -0.0332606417685698 -0.0332799186177572 -0.0348877429724024 -0.0330361612297262 6.65093065670339e-05 0 6.65093065670339e-05 4.5 57.8394744658222 99.8098807710005 99.9517754408563 99.8666386389428 99.8666386389428 24.5762016558621 70.7921446014944 88.4900334682152 0.000260282202504196 0.000256556878900133 0.0148515179950369 0.00372593820302961 -3.22447047710078 0.00157108745070178 2.38046051860225 0.3 96.9151453889002 0 
1990-01-01/19:00:00 0.048163206472406 0.0482245591437206 -0.0332200759656039 -0.0332193747996029 -0.0332214776213003 -0.0346154913977126 -0.0330363897742633 6.59304542831016e-05 0 6.59304542831016e-05 4.5 57.8438102126953 99.8102145378919 99.9517754408563 99.8668388990776 99.8668388990776 24.5761878202438 70.7920813979947 88.4899826947081 1.32353762304254e-05 0 0.0147222603684726 0 -3.34123163187186 0 0 0.3 96.915145439666 0 
1990-01-01/20:00:00 0.048163206472406 0.0482245591437206 -0.0331977373182648 -0.033197262088753 -0.0331986873189081 -0.0344263283300886 -0.0330364559566825 6.54541764492079e-05 0 6.54541764492079e-05 4.5 57.8473779205284 99.8103446974359 99.9517754408563 99.8669169948041 99.8669169948041 24.5761898640673 70.7920255132745 88.4899377659403 0 0 0.0146159076009305 0 -3.43798530549749 0 0 0.3 96.9151454817328 0 
1990-01-01/21:00:00 0.048163206472406 0.0482245591437206 -0.0331827300151774 -0.033182402178594 -0.0331833853721309 -0.0342947353353132 -0.0330370734524452 6.49809490638336e-05 0 6.49809490638336e-05 4.5 57.8509230185432 99.8104320896523 99.9517754408563 99.8669694301339 99.8669694301339 24.5761937453646 70.791974487676 88.4898966982435 0 0 0.0145102359980768 0 -3.53473897912312 0 0 0.3 96.9151455237996 0 
1990-01-01/22:00:00 0.048163206472406 0.0482245591437206 -0.0331723395882069 -0.0331721121983405 -0.0331727941486119 -0.0342025740514995 -0.0330376327683502 6.4510755253264e-05 0 6.4510755253264e-05 4.5 57.8544456285389 99.8104925780795 99.9517754408563 99.8670057231902 99.8670057231902 24.5761988812883 70.7919268763453 88.4898583272704 0 0 0.0144052417920134 0 -3.63149265274875 0 0 0.3 96.9151455658664 0 
1990-01-01/23:00:00 0.048163206472406 0.0482245591437206 -0.0331651089724309 -0.0331649503561169 -0.0331654260520663 -0.0341374192271816 -0.0330381511970151 6.40435782210468e-05 0 6.40435782210468e-05 4.5 57.8579458717984 99.8105346586414 99.9517754408563 99.8670309715274 99.8670309715274 24.5762048747346 70.7918816944178 88.4898218595582 0 0 0.0143009212320953 0 -3.72824632637437 0 0 0.3 96.9151456079332 0 
1990-01-02/00:00:00 0.048163206472406 0.0482245591437206 -0.0331613736068517 -0.033161264522646 -0.0331615916700464 -0.0340902211194095 -0.033040223751602 6.35794012477231e-05 0 6.35794012477231e-05 4.5 57.8614238690903 99.8105565575082 99.9517754408563 99.8670441108475 99.8670441108475 24.5762113184025 70.7917117421095 88.4896875102782 0 0 0.0141972705848697 0 -3.825 0 0 0.3 96.91514565 0 
1990-01-02/01:00:00 0.048163206472406 0.0482245591437206 -0.0331578667642644 -0.0331577892051061 -0.0331580218077719 -0.0340569146649842 -0.0330406914023401 6.31182076905565e-05 0 6.31182076905565e-05 4.5 57.86487974067 99.810576945655 99.9517754408563 99.8670563437355 99.8670563437355 24.5762181513842 70.7916698537805 88.4896534057352 0 0 0.0140942861340162 0 -3.92175367362563 0 0 0.3 96.9151456920668 0 
1990-01-02/02:00:00 0.048163206472406 0.0482245591437206 -0.0331553502225574 -0.0331552942184108 -0.0331554621768322 -0.0340320884985397 -0.0330411439791829 6.26599809832647e-05 0 6.26599809832647e-05 4.5 57.8683136062806 99.8105915641836 99.9517754408563 99.8670651148527 99.8670651148527 24.5762252505019 70.791628922687 88.48962002008 0 0 0.0139919641802864 0 -4.01850734725125 0 0 0.3 96.9151457341336 0 
